company	current_location	ssn	name	mail	user_id	residence	username	birthdate	address	registration	blood_group	station_ID
Badoer, Interminelli e Falier s.r.l.	(Decimal('-60.6077905'), Decimal('-112.364402'))	VRDMRN11P01L744I	Serena Pratesi	bixioamanda@gmail.com	2040		federicomaurilio	1994-10-28	"Incrocio Roberta, 47
70056, Molfetta (BA)"	2022-03-08	B-	74
Bender Gotthard GmbH & Co. KG	(Decimal('-22.8513955'), Decimal('10.655106'))	126-53-8656	Catharina Ring	hditschlerin@web.de	1982		schomberrose-marie	2018-06-01	"Udo-Hiller-Straße 94-74
84861 Freudenstadt"	2021/09/30	O-	574
山田運輸株式会社	(Decimal('77.6787615'), Decimal('41.981680'))	365-60-2802	岡田 あすか	agoto@gmail.com	436		osamu93		和歌山県小平市橋場17丁目24番12号 パーク中鉢石町915	2019/11/14	B+	213
Pinto	(Decimal('-82.420968'), Decimal('-176.271389'))	13564290761	Ana Carolina da Rocha	peixotonicolas@gmail.com	774		arthur64		"Trevo Machado, 6
Estoril
24603-353 Borges dos Dourados / ES"	03/17/2024, 00:00:00	AB+	364
Chapman-Adams	(Decimal('-50.4503715'), Decimal('-42.279473'))	025-95-9192	Jesse Clark	christianconway@yahoo.com	907		william17	1934-10-25		05/14/2025, 00:00:00	B+	306
Sollima, Rismondo e Giorgetti Group	(Decimal('-74.0631985'), Decimal('93.149338'))	LTTRTI64S06E803W	Raimondo Mocenigo	toscaninibiagio@virgilio.it	222		gioachinocondoleo	1969-09-01		2023/05/11	O-	697
山下農林株式会社	(Decimal('-24.591349'), Decimal('-2.569978'))	399-29-5941	森 裕美子	kobayashihanako@hotmail.com	1203		awatanabe			28 Jun 2022	O-	149
中島鉱業有限会社	(Decimal('79.536518'), Decimal('-42.568381'))	339-20-6934	松本 舞	sayuri75@gmail.com	1322		mai51		鹿児島県武蔵野市二つ室25丁目17番5号 山中新田コーポ602	2021-06-15	B+	82
Tacchini, Curiel e Stein e figli	(Decimal('65.5030445'), Decimal('95.972517'))	NSCGRL69A12H629O	Melissa Casarin	pascarellamercedes@poste.it	599		borranitelemaco		"Incrocio Goldoni, 65 Piano 9
09023, Monastir (CA)"	2019-12-28	B-	699
Moreira das Neves S.A.	(Decimal('18.364237'), Decimal('26.920905'))	79245081630	Davi Lucca Cardoso	hadassasiqueira@yahoo.com.br	1209		costelaheloisa	1987-01-15	"Avenida Isabel Rezende
Mirtes
34103-612 Mendonça Verde / AM"	2019/03/14	O+	688
合同会社山口通信	(Decimal('25.765294'), Decimal('-61.092575'))	482-96-0235	清水 拓真	mituru53@hotmail.com	2134		yosuketakahashi	1974-07-27	岡山県西多摩郡瑞穂町百村34丁目10番11号 シャルム太田ヶ谷131	12/29/2019, 00:00:00	B-	57
Ramos	(Decimal('56.9839095'), Decimal('-90.897381'))	29154680360	Ana Laura Moreira	albuquerquemariana@bol.com.br	1597		benjamin87	1986-08-22	"Rua de da Mota, 7
Bandeirantes
29401-691 Lopes de Minas / MA"	03/22/2024, 00:00:00	B-	610
合同会社田中電気	(Decimal('35.3226705'), Decimal('24.635713'))	568-03-4086	佐々木 陽子	ekimura@yahoo.com	1149		rikafujita	1985-12-17	長野県福生市手岡38丁目6番2号	08/05/2019, 00:00:00	A-	610
Nohlmans GmbH	(Decimal('-51.4942025'), Decimal('49.099652'))	757-69-0994	Jorge Huhn-Fliegner	wmitschke@aol.de	1928		manuelasontag		"Marleen-Fliegner-Ring 6303
40640 Böblingen"	2023-01-20	A+	119
Kusch		317-71-5308	Lara Tröst	bauermark@googlemail.com	186		anjakranz			2019/07/18	A-	412
有限会社松本保険	(Decimal('-7.5580935'), Decimal('109.833092'))	725-23-3260	渡辺 七夏	maiikeda@yahoo.com	302		fujitatakuma	1958-01-18	滋賀県練馬区富久町22丁目6番5号 パーク今戸202	05/12/2024, 00:00:00	AB+	183
Johnson, Miller and Morton	(Decimal('86.581066'), Decimal('141.615018'))	112-38-1907	Scott Mckinney	dominique73@hotmail.com	1225		pmorris		"0425 Davis Grove Apt. 744
Port Christopherport, SC 43685"	03/30/2023, 00:00:00	A-	663
清水食品株式会社	(Decimal('-57.1217025'), Decimal('-40.829596'))	775-91-4560	林 裕樹	itoakira@hotmail.com	753		yamazakitakuma		徳島県武蔵野市渡辺11丁目20番8号 筑土八幡町パレス299	03/31/2021, 00:00:00	AB+	93
Gorlitz	(Decimal('9.857758'), Decimal('167.941640'))	129-14-7929	Kuno Hethur	aleksandra31@yahoo.de	1286		mosemannwiltrud			02/22/2019, 00:00:00	O+	243
合同会社青木銀行	(Decimal('-89.7674445'), Decimal('-64.266699'))	588-15-6367	田中 陽一	zito@hotmail.com	2038		dtakahashi	1916-07-14	京都府印旛郡本埜村隼町29丁目15番10号 パーク山中新田121	2018/12/17	B-	630
Pasolini, Verdi e Sanudo Group	(Decimal('-54.220314'), Decimal('56.021753'))	BRBPLA93L68D730J	Laureano Falloppio-Antonucci	matilda08@hotmail.com	658		arnaldo04		"Vicolo Aurora, 74 Piano 7
09037, San Gavino Monreale (SU)"	09/16/2020, 00:00:00	O-	538
Röhricht AG & Co. OHG	(Decimal('86.375028'), Decimal('-134.911794'))	962-90-7025	Dr. Ioannis Köster	junkmaxim@aol.de	1166		eckhard13	2023-06-13	"Mattias-Seidel-Gasse 675
05384 Rehau"	04/05/2025, 00:00:00	O+	404
合同会社高橋ガス	(Decimal('76.8224865'), Decimal('-62.247298'))	363-96-5988	吉田 加奈	yumiko97@yahoo.com	911		rkondo		群馬県三宅島三宅村芝浦31丁目8番2号 芝大門シティ435	20 Oct 2019	AB+	598
Ponti-Castelli e figli	(Decimal('-18.480449'), Decimal('-151.092083'))	BNNLNI70B23D578K	Eraldo Toscani-Errani	abroschi@tin.it	664		milanesifausto		"Borgo Capecchi, 10 Appartamento 6
75010, Oliveto Lucano (MT)"	2020/08/10	A-	354
Pimenta Viana S.A.		90524176361	Dra. Lívia Farias	isadora36@uol.com.br	1952		milenapastor		"Via Ísis da Mota, 55
Vila Das Oliveiras
27342-995 Duarte / SE"	2019/09/16	B-	498
三浦印刷株式会社	(Decimal('46.2808205'), Decimal('134.919058'))	804-53-6191	加藤 加奈	smurakami@gmail.com	1827		hanako70	1968-11-25	大分県大田区蔵前10丁目18番16号	31 Dec 2019	A-	267
Hornich	(Decimal('-36.866185'), Decimal('-26.024695'))	568-78-9865	Amalie Martin-Hering	rennerhans-willi@aol.de	2098		tvan-der-dussen	2001-03-11		09/15/2021, 00:00:00	A+	230
Emo-Mengolo e figli	(Decimal('31.669986'), Decimal('163.735155'))	RSSBLS41R41L569E	Luisa Calgari	modiglianipierpaolo@tim.it	1689		toniolivetti	1963-06-08	"Viale Fattori, 125 Piano 0
20857, Camparada (MB)"	02/21/2021, 00:00:00	B-	509
Paffrath GmbH & Co. KG	(Decimal('87.891423'), Decimal('91.369537'))	781-55-8107	Dr. Ronny Becker MBA.	pluebs@yahoo.de	2185		aynur97			2022/03/07	AB+	482
Henck Neuschäfer Stiftung & Co. KGaA	(Decimal('-19.3258465'), Decimal('15.191857'))	416-02-3119	Celal Scheuermann	tklemm@web.de	2107		nholsten	1971-11-23	"Hatice-Kroker-Ring 84-46
31753 Berchtesgaden"	2022-02-20	B-	573
Dias	(Decimal('5.642951'), Decimal('-106.865025'))	34275689119	João Gabriel Freitas	camargoclarice@ig.com.br	1240		dantenascimento	1939-04-23	"Morro Juan Rodrigues, 932
Beija Flor
77785-244 Garcia / SP"	19 Dec 2022	B+	77
合同会社佐藤水産	(Decimal('-11.503430'), Decimal('-143.244531'))	036-18-0732	橋本 零	tanakashota@gmail.com	529		manabusaito		北海道千代田区上野公園28丁目5番18号	05/21/2022, 00:00:00	B+	49
Henderson, Collins and Gross	(Decimal('-41.439146'), Decimal('63.578883'))	667-12-4142	Jonathan Dominguez	mruiz@gmail.com	2028		harrisjennifer		"47652 Spencer Field
Lewisfort, CT 08030"	2020/02/16	A-	518
Ovadia, Marini e Bevilacqua Group	(Decimal('-12.123348'), Decimal('-59.939873'))	SCRMRN25L13A204N	Cecilia Onio	randazzocalcedonio@tele2.it	1828		pfinotto	1932-06-26	"Borgo Andreozzi, 97 Piano 7
25054, Marone (BS)"	03/20/2022, 00:00:00	AB+	510
Hernandez, Sanders and Meyer	(Decimal('13.178864'), Decimal('76.981139'))	413-52-2770	Tony Deleon PhD	angela76@gmail.com	1050		tjohnson	1939-05-18	"77461 Jeremy Overpass Apt. 666
Jenkinsberg, MN 42943"	2019/07/20	A+	510
株式会社小林鉱業	(Decimal('-70.2298435'), Decimal('2.749834'))	397-62-1597	佐藤 陽一	yukiito@yahoo.com	1468		kimurayoichi		熊本県小平市東浅草14丁目27番19号	2020/11/23	O-	620
Argentero s.r.l.	(Decimal('28.7795075'), Decimal('-165.255530'))	DSDNDD10R01C980R	Silvestro Asmundo	milocociarelli@live.com	1321		benvenuto65	1933-10-04	"Via Giacinto, 7 Appartamento 24
71040, San Nicola (FG)"	2023/04/15	O-	236
Onio, Frescobaldi e Germano SPA	(Decimal('84.2755355'), Decimal('-34.383876'))	TRSRMN45E07G753K	Dott. Dino Stein	raffaelloborrani@tim.it	221		gradenigodomenico	1990-01-05		31 Mar 2020	B+	427
山下建設合同会社	(Decimal('60.995049'), Decimal('14.125492'))	571-53-6310	岡田 里佳	katokumiko@gmail.com	1596		lnakamura	1975-08-06		2024-09-18	O+	233
Lorch Kraushaar AG & Co. KGaA	(Decimal('-49.976709'), Decimal('-21.189969'))	825-65-6411	Ernestine Süßebier	pgiess@aol.de	1698		hhesse	2017-08-23	"Stiebitzweg 488
63412 Koblenz"	2018/10/02	B-	277
Macedo	(Decimal('26.113416'), Decimal('66.312772'))	91648520324	Luiz Felipe Andrade	eduardapimenta@hotmail.com	783		jribeiro	1913-01-18		21 May 2022	AB-	307
Henk Mielcarek KG	(Decimal('67.9990545'), Decimal('26.656055'))	914-90-0789	Herr Juergen Kobelt	etzleryvette@yahoo.de	825		ibaehr	1974-03-31	"Albersstr. 6-9
31179 Vilsbiburg"	2024/03/23	B+	57
Garcia e Filhos	(Decimal('0.4590415'), Decimal('45.353619'))	21396758003	Giovanna Cavalcanti	pda-rocha@ig.com.br	1764		lcunha	2013-12-30	"Fazenda Rebeca Cardoso, 5
Nova Floresta
08364-078 Guerra / BA"	05/26/2022, 00:00:00	AB-	473
Klingelhöfer AG & Co. OHG	(Decimal('-44.634380'), Decimal('125.806777'))	218-76-9220	Leon Meyer	rlosekann@gmail.com	29		suzanne80	1939-09-19	"Brian-Lehmann-Platz 384
61343 Rockenhausen"	2025-06-04	B-	148
Baker-Williams	(Decimal('-74.3036175'), Decimal('-117.274944'))	676-95-9751	Scott Bradley	mario51@yahoo.com	522		ritapena		"1617 Kristine Crest
Baileymouth, CT 52275"	2023/07/21	O-	256
Mannoia, Castellitto e Onio SPA	(Decimal('-69.809379'), Decimal('44.493120'))	RNCRMS07B56C672G	Dante Bettin	viridianavianello@gmail.com	823		fiammapometta			29 Apr 2020	B-	675
Wright Ltd	(Decimal('56.810462'), Decimal('-53.973991'))	071-49-5753	Thomas Richardson	tcarter@yahoo.com	1877		joycejoanne	1982-01-05		2023-07-10	A-	662
Campos	(Decimal('-69.883178'), Decimal('149.881920'))	40671395866	Isabel Aragão	gabriela84@uol.com.br	1422		fonsecamarcos-vinicius	1947-04-05		12 May 2024	O+	124
Bradley Inc	(Decimal('57.1345335'), Decimal('-65.915387'))	354-46-7385	Dennis Hill	banksjennifer@hotmail.com	196		stevensonphilip		"USNV Robinson
FPO AE 55779"	2024/10/27	AB+	527
da Rocha	(Decimal('58.586174'), Decimal('-165.465856'))	35986421051	Sr. Igor Campos	emonteiro@ig.com.br	1570		pintojoao-gabriel	1988-02-12		2024/08/05	A-	491
Errani Group	(Decimal('49.7126555'), Decimal('164.478247'))	GVNGLI96R44E680U	Laura Sobrero	aulentifortunata@yahoo.com	92		mauroboldu		"Canale Maderno, 44
20065, Inzago (MI)"	2023-02-26	A+	252
Thomas-Price	(Decimal('-36.583847'), Decimal('-129.262496'))	678-48-4312	Deborah Armstrong	christine74@hotmail.com	1666		guzmanchelsea	1960-02-09	"4402 Reilly Way
Ronaldborough, DE 06530"	2019/07/11	O+	18
Trotta-Chittolini s.r.l.		PLNVLT06C03E265V	Elladio Olivetti	aguarneri@virgilio.it	1540		fraccicamilla		"Piazza Romolo, 92 Piano 7
05012, Attigliano (TR)"	19 May 2021	B-	643
Johnson Ltd	(Decimal('65.952037'), Decimal('66.563298'))	367-93-1535	Joseph York	eharris@yahoo.com	1226		abenson	1986-05-24		2025/06/29	AB+	498
Leão	(Decimal('89.790531'), Decimal('-95.080439'))	05712483653	Lucca Novais	fonsecaolivia@uol.com.br	1969		sampaiomelissa		"Lagoa da Conceição, 86
Alta Tensão 1ª Seção
77868-222 Casa Grande / PI"	06/21/2020, 00:00:00	B-	556
Scalera Group	(Decimal('86.811260'), Decimal('-12.866578'))	PTRNNE75P41L388L	Emma Fioravanti	pmimun@live.com	192		martino41		"Stretto Alighieri, 336
04027, Ponza (LT)"	19 May 2022	O-	178
Buchholz GmbH	(Decimal('79.500510'), Decimal('-150.002235'))	310-19-0071	Hans-Karl Förster	ejunitz@yahoo.de	1222		schottinmetin	1967-09-04	"Roskothgasse 3-8
81818 Chemnitz"	12/13/2020, 00:00:00	O-	69
Rogner Reichmann Stiftung & Co. KG	(Decimal('-20.499397'), Decimal('-83.161854'))	681-79-8713	Ortrun Plath-Heydrich	whahn@yahoo.de	1366		fischerali	1913-08-29	"Jasmin-Dobes-Gasse 779
51467 Gotha"	27 Feb 2025	O+	163
Süßebier Stoll GmbH & Co. KG	(Decimal('-19.439299'), Decimal('177.488077'))	249-71-8778	Marko Boucsein	geiselwitold@gmx.de	1294		igertz		"Budigweg 7110
27960 Berchtesgaden"	04 Sep 2024	B+	8
Caldeira	(Decimal('-47.1958325'), Decimal('114.694642'))	80742396169	Maria Cecília Moura	juancirino@bol.com.br	47		rezendemilena		"Praça de Ferreira, 319
Vila Sumaré
14939-156 Fogaça da Praia / PE"	2018-09-30	B-	160
Short-Meyer	(Decimal('-52.1979525'), Decimal('-113.555794'))	341-12-4759	Barbara Jordan	cruzbrandon@hotmail.com	206		chadgarcia		"2868 Lee Inlet Suite 075
Josephside, OH 75841"	2023-03-26	B+	434
Modigliani-Bruscantini s.r.l.	(Decimal('-62.074667'), Decimal('-90.828598'))	BRSMLN32L06I507U	Carolina Tolentino	alessandraungaretti@live.com	156		bassielvira		"Incrocio Piermaria, 83
86079, Venafro (IS)"	01/15/2025, 00:00:00	O+	159
Hays Ltd	(Decimal('8.697003'), Decimal('134.009525'))	524-80-1196	Lori Kline	sarahrosario@yahoo.com	1850		ashleysmith	1924-02-24	"935 Lawson Keys Suite 859
Lake Monica, OK 54347"	2023/05/04	O-	250
Morales-Higgins	(Decimal('-7.1997615'), Decimal('-70.195974'))	656-14-3931	Eric Robinson	xaviermcdonald@hotmail.com	589		brian09	1998-03-23	"5741 Robert Ranch
Loriside, NM 53102"	03/22/2022, 00:00:00	O-	480
Junk	(Decimal('52.291907'), Decimal('11.997367'))	823-58-4248	Necati Hofmann	pergandemarie-luise@hotmail.de	1437		vollbrechtivana			27 Mar 2023	A+	413
Martins	(Decimal('25.319942'), Decimal('-94.659223'))	70341865966	João Vitor Souza	nathan90@uol.com.br	1207		ylima	1953-03-04	"Praça de Sousa, 97
São Tomaz
56058235 Macedo de Vargas / SE"	03/02/2024, 00:00:00	A+	125
Martin-Harris	(Decimal('-69.1072175'), Decimal('-66.348740'))	256-76-1831	William Cherry	matthewbennett@yahoo.com	2189		laurayoung			2020/01/02	AB+	170
Adams PLC	(Decimal('39.0539565'), Decimal('25.052706'))	084-28-9486	Michael Jenkins	josemoore@hotmail.com	320		harrismary		"61269 Davies Neck Apt. 864
Larsonhaven, AK 85331"	2019-06-04	B+	3
Amaldi e figli	(Decimal('-78.0088225'), Decimal('-92.520126'))	RBRCHL44H54A288T	Matteo Liguori	gianvecchiodonna@virgilio.it	1517		grifeofedele		"Strada Massimiliano, 15 Piano 8
81012, Alvignano (CE)"	07/12/2024, 00:00:00	B+	201
Nascimento	(Decimal('-2.5454065'), Decimal('-103.511463'))	60894172549	Emilly Sales	lsousa@hotmail.com	673		mirella67		"Esplanada Melo, 87
São Sebastião
41892329 Pires / RN"	2019-03-05	A-	282
Bettoni s.r.l.	(Decimal('-10.992070'), Decimal('98.706914'))	CSDPMP08H64G229X	Lolita Iannuzzi	tbartoli@gmail.com	1065		franzeseeugenia		"Incrocio Montecchi, 846 Piano 3
02035, Orvinio (RI)"	2019/08/24	B+	185
Heidrich Reuter Stiftung & Co. KGaA	(Decimal('-55.9070435'), Decimal('151.607447'))	211-68-9163	Prof. Hanny Striebitz	hhermighausen@hotmail.de	1143		olga35		"Hofmannallee 27/44
89547 Soest"	07/24/2024, 00:00:00	A+	515
Henk Stiftung & Co. KG	(Decimal('-37.549268'), Decimal('-140.411960'))	197-77-3097	Arthur Zobel	owulf@googlemail.com	591		iriehl		"Gisbert-Kraushaar-Gasse 8148
52301 Ochsenfurt"	12/11/2019, 00:00:00	A+	125
Peixoto Ltda.	(Decimal('-12.205398'), Decimal('-112.032472'))	05841732960	Pietro Melo	isaque00@ig.com.br	1955		costaana-livia	1965-03-18	"Viaduto Benjamim Aparecida
Boa União 2ª Seção
41557-640 Guerra Verde / PI"	04/18/2024, 00:00:00	B+	497
Reuter	(Decimal('66.3819215'), Decimal('75.062078'))	092-84-5890	Loni Dörr	eckhardtaustermuehle@gmx.de	1278		qzimmer	2008-10-21	"Kohlplatz 142
89692 Iserlohn"	01/16/2025, 00:00:00	AB-	276
Scott-Mitchell	(Decimal('-46.440188'), Decimal('-73.652140'))	265-45-0155	James Hicks	humphreyrichard@gmail.com	757		johnsonkeith	1913-03-25	"607 Hubbard Spring Suite 518
South Brandonville, IL 85877"	2020/10/28	A-	284
Farias	(Decimal('52.9927165'), Decimal('163.754714'))	46275813946	Nina Azevedo	julia22@ig.com.br	388		erick40			10 Oct 2021	AB+	204
Proietti, Antonini e Lombardi s.r.l.	(Decimal('-44.1482735'), Decimal('-21.698184'))	CRLDNG30T57B835E	Gioffre Giacconi	kquasimodo@gmail.com	228		gianfranco17		"Incrocio Ivan, 81
23831, Casargo (LC)"	08/25/2025, 00:00:00	A-	445
Ford-Moore	(Decimal('-79.1678665'), Decimal('72.225483'))	023-48-0403	Joseph Vargas	julian61@hotmail.com	496		cwillis		"4800 Esparza Orchard Apt. 129
Mejiaville, AK 96297"	2020-10-28	B-	6
Spieß AG	(Decimal('53.7198205'), Decimal('-60.267176'))	054-93-1070	Dipl.-Ing. Gabi Bachmann	ziegertarno@googlemail.com	663		soenke30	1973-08-08	"Freudenbergerweg 1643
78808 Schlüchtern"	2020-11-07	B+	39
Dias - EI	(Decimal('-10.6635315'), Decimal('-3.287857'))	63408579229	Sr. Pietro Rodrigues	rodrigo18@gmail.com	956		eduardabarbosa		"Sítio de da Mota, 69
São Lucas
64941-000 Rocha / BA"	2024-09-22	O-	535
清水銀行株式会社	(Decimal('-19.793117'), Decimal('119.614228'))	014-86-1672	山田 浩	fujiwarasayuri@yahoo.com	394		kyosuke14	2025-06-05	山形県福生市鶴ヶ丘29丁目23番4号 シャルム虎ノ門135	2023-12-21	B+	9
Nibali, Casaleggio e Curci Group	(Decimal('-28.1783535'), Decimal('47.896779'))	BRNNTL77S16B391O	Ramona Squarcione	zgermano@tim.it	1122		rusticuccibruno			27 Sep 2023	O+	693
Heß Hering GmbH & Co. KG	(Decimal('-62.985654'), Decimal('68.674614'))	378-69-7009	Fritz Baum	xluebs@hotmail.de	1377		stollfriedhilde		"Heinfried-Koch II-Gasse 8097
59325 Wanzleben"	11/04/2023, 00:00:00	O-	260
株式会社山本情報	(Decimal('-72.954753'), Decimal('98.640482'))	250-36-0371	松本 太一	murakamihiroshi@gmail.com	1191		junhasegawa			12/13/2023, 00:00:00	A+	13
Gulotta SPA	(Decimal('72.729367'), Decimal('149.152590'))	VRGCSN95A55E070X	Guarino Oscuro-Ruggeri	vincenzo62@yahoo.com	1663		mirkotozzi	1995-04-02	"Incrocio Rosalia, 3
62017, Porto Recanati (MC)"	01 Oct 2023	O+	154
Renzi, Brambilla e Chittolini SPA	(Decimal('-71.1931025'), Decimal('-9.338074'))	RGNCSN68D63M312Z	Dina Pedrazzini	dvalmarana@virgilio.it	1784		xbasso		"Via Deledda, 2
65122, Pescara (PE)"	2021-09-01	AB+	262
Cassiano	(Decimal('39.3267735'), Decimal('115.459917'))	65472138035	Lorena Pimenta	zsiqueira@bol.com.br	1864		abrito		"Vereda Anthony Gabriel Novais, 825
Santa Cecilia
26356333 Pinto / ES"	28 Nov 2020	B-	252
Spinelli-Canova SPA	(Decimal('-31.551649'), Decimal('-24.298741'))	BRGVRL19H67B969O	Sig.ra Virginia Bonaventura	sebastiano51@outlook.com	77		egioberti		"Via Rosaria, 40
47013, San Ruffillo (FC)"	2023/05/24	B-	177
Weinhage		899-94-4927	Klaus-Jürgen Lorch	ltrommler@gmx.de	1968		zdehmel			13 May 2020	B+	480
Berengario Group	(Decimal('37.194164'), Decimal('90.039836'))	SDDGNN91M25G316P	Cipriano Falier	jolandazoppetti@poste.it	559		bmascheroni	1996-04-21	"Rotonda Ivo, 720
20831, Seregno (MB)"	2020/04/01	O+	518
木村通信合同会社	(Decimal('-43.0590715'), Decimal('-167.674051'))	186-33-0530	田中 淳	hashimototakuma@hotmail.com	234		ryosukekondo	1933-01-25	長崎県印旛郡栄町土呂部23丁目27番17号	2020-04-16	O+	253
Andrade		48179023532	Luiz Otávio Leão	taragao@ig.com.br	2024		henrypacheco		"Avenida de Aparecida
Suzana
75538-052 Lopes da Prata / MG"	2020/02/19	O-	144
Spinelli-Foletti SPA	(Decimal('43.2213465'), Decimal('161.126553'))	BRGCSN62E41G224H	Stefani Rossini	ettorevento@gmail.com	1884		margherita22		"Vicolo Milena, 9
14021, Buttigliera D'Asti (AT)"	2021-03-30	O-	1
合同会社佐藤運輸		260-71-3697	鈴木 学	hiroshi23@yahoo.com	132		nakamurasayuri	1922-02-07	京都府八街市鳥越14丁目8番5号 コーポ丹勢239	10 Jul 2023	B+	673
Scholtz Vogt GmbH	(Decimal('-22.853077'), Decimal('101.139075'))	074-82-5317	Frau Katarzyna Bähr	wzorbach@aol.de	749		jens-uwe88	1918-12-24		12/12/2019, 00:00:00	O+	541
Church-Guerrero	(Decimal('18.6980355'), Decimal('-167.720256'))	288-15-1479	Melissa Ruiz	griffinsally@gmail.com	1205		robinsondakota	1931-03-16	"0366 Dunn Branch
East Aaronton, NH 12880"	19 Jan 2021	A-	208
Herrera, Kelly and Moore	(Decimal('77.8672975'), Decimal('24.629505'))	424-90-0262	Cheryl Riley	matthewcastillo@hotmail.com	1993		gdiaz	1974-12-11	"41639 Lisa Ridges Suite 857
Williamschester, VA 03432"	2024/08/21	A-	630
Werner AG	(Decimal('2.3044395'), Decimal('-103.872353'))	928-58-7032	Jolanda Kabus	zlosekann@gmail.com	2090		qgiess	2009-02-28	"Rosmarie-Jacob-Gasse 93
34335 Bitterfeld"	12 Apr 2022	AB+	687
Kitzmann KG	(Decimal('-88.031310'), Decimal('-14.007806'))	932-53-5332	Inka Trupp	hertrampfbirgitta@gmx.de	57		vkostolzin	2013-12-19	"Gino-Ernst-Ring 17/98
64950 Cottbus"	07 Apr 2024	AB-	204
Salinas-Matthews	(Decimal('32.7641145'), Decimal('132.031919'))	623-27-1220	Alicia Williams	michaelmartin@gmail.com	556		tsmith	1995-02-01	"72239 Wade Trace
Spencerstad, PA 11989"	2024-03-21	O-	175
Schulz GmbH	(Decimal('9.711122'), Decimal('-17.373592'))	390-19-9258	Herr Thilo Hübel	maurice69@hotmail.de	1724		arianeschwital	2001-06-26	"Speerstr. 8275
74791 Gransee"	2021/03/29	A+	480
有限会社中川鉱業	(Decimal('67.0608875'), Decimal('32.686682'))	099-87-4903	三浦 晃	kenichiishii@hotmail.com	1313		ryohei50	1928-06-22	群馬県東久留米市日光17丁目22番15号 ハイツ美原町052	26 Oct 2020	AB+	329
Wulf AG	(Decimal('66.5693165'), Decimal('2.960326'))	893-88-8452	Willibert Schmidtke	werneckehans-h@yahoo.de	821		hentscheldagobert		"Aynur-Ullrich-Straße 2553
27184 Gräfenhainichen"	28 Apr 2021	A+	601
Collina, Paganini e Crisafulli e figli	(Decimal('36.489382'), Decimal('165.795989'))	VZZLGN89D14F874A	Cirillo Golgi	chinnicisusanna@gmail.com	823		fsolimena		"Incrocio Sante, 53
57017, Nugola Nuova (LI)"	2018-12-13	AB-	239
Leão	(Decimal('-76.4031355'), Decimal('65.754105'))	07431896204	Caroline Moura	agatharamos@gmail.com	1265		oliveiraanthony			2019-01-04	A+	230
Gomes	(Decimal('38.486318'), Decimal('-164.007362'))	38407519260	Anna Liz Monteiro	fogacaclara@uol.com.br	1888		yan52	1939-05-07	"Campo Anthony Farias, 2
Miramar
90365-637 da Mota / GO"	23 Dec 2022	AB-	91
Carocci s.r.l.	(Decimal('0.395923'), Decimal('38.810769'))	TRLLND38B47C408F	Dott. Gian Travia	sauligiancarlo@fastwebnet.it	1829		udinesisandro	1933-09-16	"Rotonda Paolini, 920 Appartamento 5
27012, Certosa Di Pavia (PV)"	02/06/2022, 00:00:00	B+	225
Campos	(Decimal('-59.838909'), Decimal('43.625457'))	59132864051	Ana Cecília Machado	zdias@bol.com.br	289		da-matalorenzo	2018-10-28	"Condomínio de Teixeira, 548
Nossa Senhora De Fátima
23402678 Cardoso de Mendonça / GO"	21 Mar 2025	B-	557
Junitz AG	(Decimal('32.605862'), Decimal('-129.347178'))	969-56-2332	Otto Eckbauer-Losekann	myriam98@googlemail.com	1065		clemensweiss		"Ismail-Schleich-Ring 22
53686 Lübben"	2020/11/05	AB-	495
Johnson-Peck	(Decimal('-40.4025835'), Decimal('-152.545213'))	582-07-8981	Joel Armstrong	moodydaniel@gmail.com	1024		jacquelinecooper	1949-03-06	"4411 Rebecca Locks Apt. 199
West Melissaview, IL 47524"	19 Jul 2021	AB-	255
Gute KG	(Decimal('-13.870851'), Decimal('-20.613325'))	555-58-0332	Dr. Raymund Jacob	orogge@gmx.de	21		alexandra62		"Marlene-Fröhlich-Platz 8411
17350 Hammelburg"	03/16/2022, 00:00:00	AB+	51
Phillips, Johnson and Snyder	(Decimal('-8.9542535'), Decimal('151.596496'))	402-30-0506	Douglas Stafford	ashleycontreras@yahoo.com	788		pdavis	1928-10-02	"481 Benson Courts Suite 238
South Deannatown, PA 41606"	2024/05/16	O+	417
Novaes	(Decimal('-70.869643'), Decimal('-60.083667'))	58210947397	Dr. Francisco Souza	qguerra@hotmail.com	823		eloa02	2005-03-09	"Morro Vitor Hugo da Conceição
Ipe
32370012 Leão de Minas / BA"	2019/12/12	A-	304
合同会社高橋通信	(Decimal('-71.6348575'), Decimal('3.355964'))	178-89-4399	井上 美加子	hishikawa@gmail.com	2045		yoichikimura	1957-11-21	鳥取県中央区松石35丁目20番4号 芝公園シティ929	08/28/2025, 00:00:00	O+	316
Powell, Delgado and Anderson	(Decimal('40.7150965'), Decimal('4.937618'))	190-99-8696	Patricia Boone	jonesmelanie@hotmail.com	1963		jeanette43	1955-07-05		2024-02-01	A+	267
Nogueira Duarte - ME	(Decimal('-44.8593715'), Decimal('-36.026821'))	46758921085	Maitê Cunha	aguerra@ig.com.br	2186		caldeiraluiz-felipe	1940-04-20	"Área Bernardo Moreira, 632
Padre Eustáquio
59339-843 Camargo de Minas / AC"	03 Sep 2020	AB-	54
